title,price,prod_rating,rating_count,discount,seller_rating
"POCO C50 (Royal Blue, 32 GB)  (2 GB RAM)","₹5,649",4.2,"35,666",37%,4.9
"MOTOROLA G32 (Mineral Gray, 128 GB)  (8 GB RAM)","₹11,999",4.1,"22,293",36%,4.9
"POCO C51 (Royal Blue, 64 GB)  (4 GB RAM)","₹6,999",4.3,"17,647",30%,5
"POCO C51 (Power Black, 64 GB)  (4 GB RAM)","₹6,999",4.3,"17,647",30%,4.9
"POCO C55 (Forest Green, 64 GB)  (4 GB RAM)","₹7,749",4.2,"26,218",35%,4.9
"Infinix Smart 7 HD (Green Apple, 64 GB)  (2 GB RAM)","₹6,199",4.4,"8,109",22%,4.8
"POCO C55 (Power Black, 64 GB)  (4 GB RAM)","₹7,749",4.2,"26,218",35%,4.9
"Infinix SMART 7 (Night Black, 64 GB)  (4 GB RAM)","₹7,299",4.3,"38,126",27%,4.9
"Infinix SMART 7 (Azure Blue, 64 GB)  (4 GB RAM)","₹7,299",4.3,"38,126",27%,4.9
"Infinix HOT 30i (Mirror Black, 128 GB)  (8 GB RAM)","₹8,999",4.3,"29,196",25%,4.9
"Infinix HOT 30i (Diamond White, 128 GB)  (8 GB RAM)","₹8,999",4.3,"29,196",25%,4.9
"Infinix HOT 30i (Glacier Blue, 128 GB)  (8 GB RAM)","₹8,999",4.3,"29,196",25%,4.9
"Infinix HOT 30i (Mirror Black, 64 GB)  (4 GB RAM)","₹7,999",4.3,"6,748",20%,4.9
"Infinix HOT 30i (Diamond White, 64 GB)  (4 GB RAM)","₹7,999",4.3,"6,748",20%,4.9
"Infinix HOT 30i (Glacier Blue, 64 GB)  (4 GB RAM)","₹7,999",4.3,"6,748",20%,4.9
"MOTOROLA e13 (Cosmic Black, 64 GB)  (4 GB RAM)","₹7,299",4,"28,345",33%,4.9
"Infinix SMART 7 (Emerald Green, 64 GB)  (4 GB RAM)","₹7,299",4.3,"38,126",27%,4.9
"POCO C50 (Country Green, 32 GB)  (2 GB RAM)","₹5,649",4.2,"35,666",37%,5
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)  (4 GB RAM)","₹11,999",4.3,"1,53,895",29%,4.9
"POCO C55 (Cool Blue, 128 GB)  (6 GB RAM)","₹8,999",4.1,"15,628",35%,4.9
"REDMI 10 (Shadow Black, 64 GB)  (4 GB RAM)","₹9,499",4.3,"2,36,572",36%,4.9
